"Kod";"Nazwa";"ogółem;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2018;[zł]";
0612000;"Powiat opolski";2778;0;2780;
0613000;"Powiat parczewski";2647;0;2647;
0614000;"Powiat puławski";3834;3929;3807;
0615000;"Powiat radzyński";3155;3400;2866;
0616000;"Powiat rycki";2792;3684;2671;
0617000;"Powiat świdnicki";3968;0;3968;
0618000;"Powiat tomaszowski";2474;2896;2458;
0619000;"Powiat włodawski";2470;3092;2113;
0620000;"Powiat zamojski";2009;0;2009;
0661000;"Powiat m.Biała Podlaska";2988;2869;3089;
0662000;"Powiat m.Chełm";3023;3821;2959;
0663000;"Powiat m.Lublin";5257;5351;5090;
0664000;"Powiat m.Zamość";3538;3771;3389;
0801000;"Powiat gorzowski";2951;3845;2512;
0802000;"Powiat krośnieński";2677;3403;2347;
0803000;"Powiat międzyrzecki";2371;3047;2297;
0804000;"Powiat nowosolski";2596;3422;2298;
0805000;"Powiat słubicki";3034;3491;2818;
0806000;"Powiat strzelecko-drezdenecki";2554;3455;2415;
0807000;"Powiat sulęciński";2121;0;2119;
0808000;"Powiat świebodziński";2720;3099;2612;
0809000;"Powiat zielonogórski";2403;2995;2317;
0810000;"Powiat żagański";1996;2787;1989;
0811000;"Powiat żarski";2695;3647;2408;
0812000;"Powiat wschowski";2033;0;2016;
0861000;"Powiat m.Gorzów Wielkopolski";3450;3760;3177;
0862000;"Powiat m.Zielona Góra";3788;4090;3523;
1001000;"Powiat bełchatowski";2788;2951;2783;
1002000;"Powiat kutnowski";3548;4011;3173;
1003000;"Powiat łaski";2515;0;2515;
1004000;"Powiat łęczycki";2624;0;2624;
1005000;"Powiat łowicki";3309;4639;2636;
1006000;"Powiat łódzki wschodni";2791;0;2791;
1007000;"Powiat opoczyński";3022;2411;3055;
1008000;"Powiat pabianicki";3020;3980;2786;
1009000;"Powiat pajęczański";3200;0;3200;
1010000;"Powiat piotrkowski";1671;0;1671;
1011000;"Powiat poddębicki";2874;3257;2807;
1012000;"Powiat radomszczański";3071;3507;2770;
1013000;"Powiat rawski";3640;0;3640;
1014000;"Powiat sieradzki";2875;3380;2770;
1015000;"Powiat skierniewicki";0;0;0;
1016000;"Powiat tomaszowski";3026;3607;2993;
1017000;"Powiat wieluński";4137;4554;3313;
1018000;"Powiat wieruszowski";2869;3045;2620;
1019000;"Powiat zduńskowolski";2766;3593;2742;
1020000;"Powiat zgierski";3037;3800;2856;
1021000;"Powiat brzeziński";3259;4199;2829;
1061000;"Powiat m.Łódź";4457;5087;3993;
1062000;"Powiat m.Piotrków Trybunalski";2986;3551;2929;
1063000;"Powiat m.Skierniewice";3998;4386;3728;
1201000;"Powiat bocheński";4078;4780;3755;
1202000;"Powiat brzeski";3401;4451;3134;
1203000;"Powiat chrzanowski";2760;2958;2759;
1204000;"Powiat dąbrowski";2452;0;2452;
1205000;"Powiat gorlicki";2468;0;2471;
1206000;"Powiat krakowski";4579;4779;4309;
1207000;"Powiat limanowski";3188;0;3188;
1208000;"Powiat miechowski";3588;4536;3206;
1209000;"Powiat myślenicki";4906;5150;4591;
1210000;"Powiat nowosądecki";6042;9590;3674;
1211000;"Powiat nowotarski";4430;4922;3903;
1212000;"Powiat olkuski";2852;2718;2855;
1213000;"Powiat oświęcimski";3325;4109;2929;
1214000;"Powiat proszowicki";3500;0;3324;
1215000;"Powiat suski";2570;0;2586;
1216000;"Powiat tarnowski";3425;0;3503;
1217000;"Powiat tatrzański";8342;10488;7802;
1218000;"Powiat wadowicki";3451;4029;3334;
1219000;"Powiat wielicki";4447;4370;4699;
1261000;"Powiat m.Kraków";6699;6700;6696;
1262000;"Powiat m.Nowy Sącz";3551;4247;3301;
1263000;"Powiat m.Tarnów";3335;4023;3124;
1401000;"Powiat białobrzeski";3335;0;3257;
1402000;"Powiat ciechanowski";2856;3075;2602;
1403000;"Powiat garwoliński";2865;0;2865;
1404000;"Powiat gostyniński";2536;3179;2369;
1405000;"Powiat grodziski";3985;3943;4010;
1406000;"Powiat grójecki";3827;4144;3471;
1407000;"Powiat kozienicki";3195;4466;2870;
1408000;"Powiat legionowski";4839;4867;4811;
1409000;"Powiat lipski";2287;0;2287;
1410000;"Powiat łosicki";2664;0;2663;
1411000;"Powiat makowski";2032;0;2032;
1412000;"Powiat miński";4531;4652;4198;
1413000;"Powiat mławski";3069;3294;2898;
1414000;"Powiat nowodworski";3963;4291;3696;
1416000;"Powiat ostrowski";3206;0;3206;
1417000;"Powiat otwocki";4882;4652;5010;
1418000;"Powiat piaseczyński";5717;5652;5726;
1419000;"Powiat płocki";2338;3418;1914;
1420000;"Powiat płoński";2808;3564;2729;
1421000;"Powiat pruszkowski";5305;5343;5253;
1422000;"Powiat przasnyski";2766;3612;2557;
1423000;"Powiat przysuski";2323;0;2323;
1424000;"Powiat pułtuski";2995;3480;2638;
1425000;"Powiat radomski";1980;3279;1939;
1426000;"Powiat siedlecki";2388;0;2388;
1427000;"Powiat sierpecki";3105;3316;2478;
1428000;"Powiat sochaczewski";3398;4760;3348;
1429000;"Powiat sokołowski";3105;3335;2961;
1430000;"Powiat szydłowiecki";2377;0;2375;
1432000;"Powiat warszawski zachodni";4810;4853;4713;
1433000;"Powiat węgrowski";2121;0;2121;
1434000;"Powiat wołomiński";4586;4280;5066;
1435000;"Powiat wyszkowski";4017;4051;3989;
1436000;"Powiat zwoleński";2284;0;2284;
1437000;"Powiat żuromiński";2843;5375;2512;
1438000;"Powiat żyrardowski";3889;4737;3095;
1461000;"Powiat m.Ostrołęka";3078;3617;2971;
1462000;"Powiat m.Płock";3786;4179;3477;
1463000;"Powiat m.Radom";3494;4126;3108;
